No,Date,Time,ADC,DAC
1,16 Jun 2023,8:25:43,6 , 1 
2,16 Jun 2023,8:25:43,180 , 178 
3,16 Jun 2023,8:25:43,180 , 178 
4,16 Jun 2023,8:25:43,180 , 178 
5,16 Jun 2023,8:25:43,180 , 178 
6,16 Jun 2023,8:25:43,180 , 178 
7,16 Jun 2023,8:25:43,180 , 178 
8,16 Jun 2023,8:25:43,180 , 178 
9,16 Jun 2023,8:25:43,665 , 687 
10,16 Jun 2023,8:25:43,665 , 687 
11,16 Jun 2023,8:25:43,665 , 687 
12,16 Jun 2023,8:25:43,665 , 687 
13,16 Jun 2023,8:25:43,665 , 687 
14,16 Jun 2023,8:25:43,665 , 687 
15,16 Jun 2023,8:25:43,665 , 687 
16,16 Jun 2023,8:25:43,665 , 687 
17,16 Jun 2023,8:25:43,665 , 687 
18,16 Jun 2023,8:25:43,665 , 687 
19,16 Jun 2023,8:25:43,381 , 351 
20,16 Jun 2023,8:25:43,381 , 351 
21,16 Jun 2023,8:25:43,381 , 351 
22,16 Jun 2023,8:25:43,381 , 351 
23,16 Jun 2023,8:25:43,381 , 351 
24,16 Jun 2023,8:25:43,381 , 351 
25,16 Jun 2023,8:25:43,381 , 351 
26,16 Jun 2023,8:25:43,381 , 351 
27,16 Jun 2023,8:25:43,381 , 351 
28,16 Jun 2023,8:25:43,481 , 480 
29,16 Jun 2023,8:25:43,481 , 480 
30,16 Jun 2023,8:25:43,481 , 480 
31,16 Jun 2023,8:25:43,481 , 480 
32,16 Jun 2023,8:25:43,481 , 480 
33,16 Jun 2023,8:25:43,481 , 480 
34,16 Jun 2023,8:25:43,481 , 480 
35,16 Jun 2023,8:25:43,481 , 480 
36,16 Jun 2023,8:25:43,481 , 480 
37,16 Jun 2023,8:25:43,481 , 480 
38,16 Jun 2023,8:25:43,509 , 507 
39,16 Jun 2023,8:25:43,509 , 507 
40,16 Jun 2023,8:25:43,509 , 507 
41,16 Jun 2023,8:25:43,509 , 507 
42,16 Jun 2023,8:25:43,509 , 507 
43,16 Jun 2023,8:25:43,509 , 507 
44,16 Jun 2023,8:25:43,509 , 507 
45,16 Jun 2023,8:25:43,509 , 507 
46,16 Jun 2023,8:25:43,509 , 507 
47,16 Jun 2023,8:25:43,509 , 507 
48,16 Jun 2023,8:25:43,732 , 740 
49,16 Jun 2023,8:25:43,732 , 740 
50,16 Jun 2023,8:25:43,732 , 740 
51,16 Jun 2023,8:25:43,732 , 740 
52,16 Jun 2023,8:25:43,732 , 740 
53,16 Jun 2023,8:25:43,732 , 740 
