No,Date,Time,ADC,DAC
1,27 March 2023,21:20:39, , 1024 
2,27 March 2023,21:20:39,246 , 1024 
3,27 March 2023,21:20:39,307 , 1024 
4,27 March 2023,21:20:39,364 , 1024 
5,27 March 2023,21:20:39,416 , 1024 
6,27 March 2023,21:20:39,463 , 1024 
7,27 March 2023,21:20:39,507 , 1024 
8,27 March 2023,21:20:39,547 , 1024 
9,27 March 2023,21:20:39,583 , 1024 
10,27 March 2023,21:20:39,615 , 1024 
11,27 March 2023,21:20:39,646 , 1024 
12,27 March 2023,21:20:39,673 , 1024 
13,27 March 2023,21:20:39,697 , 1024 
14,27 March 2023,21:20:39,720 , 1024 
15,27 March 2023,21:20:39,740 , 1024 
16,27 March 2023,21:20:39,759 , 1024 
17,27 March 2023,21:20:39,777 , 1024 
18,27 March 2023,21:20:39,792 , 1024 
19,27 March 2023,21:20:39,806 , 1024 
20,27 March 2023,21:20:39,820 , 1024 
21,27 March 2023,21:20:39,831 , 1024 
22,27 March 2023,21:20:39,842 , 1024 
23,27 March 2023,21:20:39,852 , 1024 
24,27 March 2023,21:20:39,861 , 1024 
25,27 March 2023,21:20:39,869 , 1024 
26,27 March 2023,21:20:39,877 , 1024 
27,27 March 2023,21:20:39,884 , 1024 
28,27 March 2023,21:20:39,891 , 1024 
29,27 March 2023,21:20:39,896 , 1024 
30,27 March 2023,21:20:39,902 , 1024 
31,27 March 2023,21:20:39,907 , 1024 
32,27 March 2023,21:20:39,911 , 1024 
33,27 March 2023,21:20:39,915 , 1024 
34,27 March 2023,21:20:39,919 , 1024 
35,27 March 2023,21:20:39,922 , 1024 
36,27 March 2023,21:20:39,926 , 1024 
37,27 March 2023,21:20:39,928 , 1024 
38,27 March 2023,21:20:39,931 , 1024 
39,27 March 2023,21:20:39,934 , 1024 
40,27 March 2023,21:20:39,936 , 1024 
41,27 March 2023,21:20:39,938 , 1024 
42,27 March 2023,21:20:39,940 , 1024 
43,27 March 2023,21:20:39,942 , 1024 
44,27 March 2023,21:20:39,943 , 1024 
45,27 March 2023,21:20:39,945 , 1024 
